label,tweet,sentiment
sadness,lagi puasa dari pagi kesana kemari mmbawa alamat eh ayuting2 kalee enggk ding ini siang2 tetangga sebelah goreng telur kan baunya hidung gue hikss piye sih mbak,neg
fear,ini pas banget gue habis baca buku bule pdkt bilang carikan rumah sama mobil dicariin mobil sama rumah mewah sih bule ok niat kirim uang 100jt pakai pos bilang sama hadiah tp enggak masuk akal kirim sebanyak pakai pos [url],neg
sadness,niat masjid sholat nya lantai berharap obob manjah biasanya enggak banyak solat disini fact fullhouse mpe shaf belakang bhay,neg
happy,paling excited kalo mengobrol sama orang kreatif siap kalo bakal tercengang sama ide yang mungkin [not] pernah terpikirkan olehmu oh iya aku baru kepikiran,pos
happy,tiada henti 2ny ku mengucap syukut alhmdllh skrg aku uang jadi panitia kemarin alhmdllh trmkah kau bri brlmpah mski [not] sbrpa inysllh lma2 mmbukit amn [url],pos
sadness,ketika group keluarga pada mengomongkan mudik duuh pengin mudik tapi apa daya suami libur cuma hari hari h lebaran itu kalo enggak telpon disuruh masuk tahun lalu malah habis sholat eid langsung kerja,neg
sadness,orang pernah kalah pertarungan politik sulit disembuhkan karena [not] bisa meraih impian sudah kehilangan banyak harta,neg
sadness,nggada sinyal rumah membuatku banyak berpikir berpikir doang pikiran mana mana random tapi ada,neg
fear,ada khabar kasus tuduhan chat mesum imam besar habib rizieq dihentikan mohon bantu doa semoga benar adanya semoga kesucian ramadhan membuka mata hati bapak2 yang menyidik amin,neg
fear,jangan ngecengin gua ya gaes [username] [username] [username] orang sudah blog nya ya walaupun nulisnya enggak jam dinihari sih,neg
love,halohaa selamat siang denise udah pulang sekolah [not] nih jangan lupa makan siang oh iya bagaimana sehatan kan kamu kalo memang kurang sehat membanyaki istirahat sekarang kk selalu menunggu kok tweet ke,pos
fear,mudah2an terupload semua mudik karna fan modal quota butuh daerah jaringan bagus hiksss hitungan jam baru slsi kalo saja mau donlot di rumahku,neg
happy,alhamdulillah prof berbicara semalam [username] adem rasanya semoga membawa keberkahan aamiin yaa rabbal aalamiin,pos
happy,keren kira kira enggak bilang pak [username] anti islam triliun hektar jadi kampus rujukan islam dunia sekelas al azhar belum proyek ponpes madrasah masjid fasilitas ummat kl ada yang bilang beliau an,pos
fear,kalo sifat buruk mungkin dirubah bertambahnya umur berubahnya keadaan kalo kebiasaan buruk mungkin sulit karena semacam jadi hobi enggak sih,neg
fear,berdesakan bejubelan krl salah satu godaan berpuasa di depan nya wanita cantik ngunyah tahu gejrot hehe,neg
happy,happy birthday us [username] and happy 6th anniv wkwkwk bentar kita putus huhu aku cari pacar baru [pos] [url],pos
fear,terus baca komen2nya bilang kalo musik haram dan bla bla nah disini aku tau kalo fanatik kan memang gaboleh tp kalau sekedar suka bagaimana,neg
happy,rabu anakbujangku selesai menempuh pendidikan tk bhakti ibu bakauheni eit ternyata dapat piala hehehe,pos
happy,bersama segenap dewan guru terimakasih membimbing anak selama bu semoga ibu ibu semua dimudahkan segala urusannya ilmu ibu ajarkan menjadi amal jariah pahalanya terus mengalir ibu selamanya [url],pos
sadness,bagi anda dianugerahi gigi rapi lahir bersyukurlah karena pakai behel ternyata lebih sakit sakit hati [hashtag],neg
happy,alhamdulillah pie rsup kariadi benar-benar diurus jadi enggak panas tinggi soalnya langsung dikasih paracetamol botolan,pos
fear,baru ngerusuh balai desa terus pas mau pulang tadi bu lurah bertanya mba ulfah temannya satu mana sih kok indak kelihatan hah teman buk o o bu lurah iya biasa bareng senin indak berangkat lho wait dari senin,neg
fear,mba pps tuh apa apa mbak ulfa pasti merasa kok enggak ada sebentar sebentar dia kenapa lagi sih dari senin ga berangkat [neg] bikin khawatir t t,neg
sadness,lu ngapa sih galau mulu lu kalo galau banyak diam kalau senang enggak diam mangat dong kak nanas senang bisa nularin orang-orang loh wkwk,neg
happy,sebentar ketemu krucil krucil ponakan menggemaskan banget suka nya meminta main berantem beranteman seru sih meskipun resiko pegel pegel nantinya sedikit sedikit mengajari berhitung [hashtag] nanti pas masuk sekolah,pos
fear,eh numbuhin brewok buat menyenangkan diri sendiri sih compliment sesama cowok bonus lah tapi enggak dirawat dikit langsung tumbuh liar gatel banget,neg
sadness,ada anak sama habis perpisahan semacam wisuda sekolah foto bareng sama teman temannya sejawat pakai kebaya lalu post ig caption nanti siapa yang bakal nikah duluan ku langsung tertunduk lesu seraya minum extra joss cuk,neg
happy,awak sih jadi orang slow mau omongkan a saja asal ale banyak makan enggak cranky berat naik bahagia mslh apapun jadi kayak enggak ibu2 banget sih sekarang,pos
fear,perginya diantar sama teman enggak bawa hp udah janjian biar dijemput jam setengah krna sayanya ketiduran yang jemput enggak nongol2 bingung mau bagaimana akhirnya jalan kaki kamu siang bolong ngeri kali lah vanashh syekaleh vemirsyahh,neg
sadness,iya kamu laki laki sang pengambil keputusan kan aku ingin dianggap diajak berdiskusi dimintai pendapat diajak mencari jalan keluar sekadar ditenangkan kecemasannya aku ada [not] hidup sendiri [username],neg
sadness,akhirnya berkata aku enggak mau sakit migrain harus datang byk2nya masalah membutuhkan tenaga mikir bentar lagi harus mudik ya allah coba,neg
happy,pengen cerita kemarin enggak sempat beberapa hari lalu tarawih masjid enggak konsen banget posisi apes gimana enggak posisi solat shaf depan mas2 pakai sarung terus sarung nya menjiplak pantatnya pas banget ketat kampret pengin mengakak lagi solat syit,pos
happy,congratulation [username] semoga dilancarkan dapat kesempatan memandang orang orang panggung [username] break a leg [url],pos
fear,gak jamin deh tapi gemana pak police [username] siap enggak kerja [not] pungli sejenisnya korup pungli bagai addicted sekali mencoba keenakan nambah deh [hashtag],neg
sadness,udah semingguan enggak kabar wkwkwkwk akunya sibuk mengurus rapot sama ijazah anak [neg] terus enggak bertanya kabarnya juga selama seminggu sahabat macam apa kamu,neg
sadness,haaaa syabar beloman waktunya buat ikutttt pemerintah ajanihhh ketumbenan mengasih liburnya kepanjangaaannnnnn,neg
happy,ngapain rame mikir mencari baju lebaran memang ya kalau aku mah tiap hari pakai baju lebaran soalnya kalo pakai baju sempitan ngaaap [hashtag],pos
happy,lewat tengah hari semoga harimu menyenangkan yuk semangat,pos
sadness,gw biasa beli shopee pakai atm manual asal cocok jumlahnya verifikasi otomatis eh keenakan jadi teledor pakai akun sepupu gue malah enggak otomatis pesanannnya kecancel allah malih gue kapan berenti goblok,neg
sadness,kayanya gue kalo shopee memang [not] nitip akun orang deh mau irit ongkir apa bagaimana dulu nitip firsta pesan lenti donghan datang boneka pokemon,neg
happy,terima kasih teman-teman hmj d3 keperawatan stikes al irsyad cilacap berbagi kebahagiaan bersama mbah kakung mbah putri [username] [url],pos
sadness,gue enggak suka enggak senang sama namanya maling cuma gue enggak senang kalau maling digebukin bonyok banget sampai dibakar dibunuh,neg
happy,supporter [username] gue enggak suka barca sebagai pecinta sepakbola gue suka film keren lah [hashtag] [url],pos
happy,ko sih drummer lucu sih mukanya kek tengil menggemaskan terus mulai dibiasin sereceh gue punya bias,pos
sadness,macet parah kemang disebelah mobil gue terparkir gerobak mie ayam luar biasa menggugah selera padahal baru melihat gerobaknya doang,neg
happy,hbd my lovely wife amie amoy wish lu all the best semoga selalu berada didalam perlindungan swt panjang umur senantiasa bahagia bersama keluarga kerabat sehat selalu semakin banyak rejeki selalu menjadi wanita hebat keluarga aamiin [url],pos
fear,jangan viralkan entar oposisi biasa nyinyir kejang2 sakit jantung kalau sakit hatinya memang kronis sulit disembuhkan,neg
happy,mengakak ane lihatnya wkwk,pos
sadness,tmn nya laki gue almarhumah tahu meninggal waktu hidup ngintil kmna laki alh gue mlangkah ngikut suka nlpon nelpn kekantor perpanjangan katakata nya suamiku almarhumah waktu jatuh cinta ksian enggak dtang rmah duka rs husada orang nya senang ketawa comblang laki ku hdhhh sedih,neg
sadness,woah buat urusan difitnah dimusuhin dibikin enggak mau sekolah gara-gara enggak yang mau berteman trauma minggu malam besok paginya sekolah dibikin malu didepan banyak orang aku melewati semua,neg
sadness,rencana enggak pulang mau garap project ternyata enggak tersentuh sama sekali tau begini mah pulang weh minggu kemarin hm hikmah ramadhan mungkin memang perlu melewati ya buat belajar,neg
sadness,menurut tindakan [not] pelecehan seksual bener kan kata gue ilmunya enggak jadi enggak mengerti deh apa apa yang termasuk pelecehan sexual [url],neg
sadness,ada mama murid rikues anaknya masuk kelas di sama banyak murid hopeless tau bakal masuk kelas karena rumor yang beredar guru galak,neg
sadness,siapa melakukan ke aku ya teman teman mostly perempuan udah enggak heran melihat perempuan dijahatin sesama perempuan aku mengalami,neg
fear,tapi sekarang entah sejak kapan pemikiran gue berubah kalo gue kepikiran share yang gila gue pikir 1000x tulis twitter ig kenapa jempol netizen [not] dikalahkan,neg
fear,jd kayak kebalik dulu socmed jadi escape buat gue ekspresiin kegilaan skrg berhubung socmed jadi lebih seram dunia nyata eh jadi dunia nyata gue jadikan escape socmed,neg
happy,ku sadari satu pilihan ku bersamamu tempat jalani hari semangat baru [not] seindah ku harapkan [not] seburuk ku bayangkan ku tetap berdiri jalani hari penuh warna mengerti pada nyanyi,pos
sadness,dukaku [not] mampu katakan sedih ku sakit ku [hashtag] [hashtag] [hashtag] [hashtag] [hashtag] emot mekkel sip,neg
sadness,wib saya benar benar kehilangan sosok laki laki merawat dari kecil mendidik merawat melindungi dan benar benar kehilangan semoga tenang disana semoga anakmu bisa menjadi anak berguna,neg
sadness,video diatas tulisannya dulu pas kapan di ilc ya bahas apa iya kecewa sama pak mahfud [hashtag] [hashtag],neg
happy,baca buku diawal senyum ditengah tengah senyum miris diakhir senyum pasrah nuhun bung [username][hashtag] [hashtag],pos
fear,itulah pentingnya materi kode etik diajarkan sejak sd minimal ilmu ilmu dasar berbuat baik sopan teratur lah kalo enggak jadinya kayak bablas enggak peka keadaan gue lupa dulu bk pkn sosum bahas apaan ada sih kesananya enggak khusus jadi enggak ngena,neg
happy,namanya anis kelar s1 walopun [not] official dalam masa bahagia banget sudah lulus masih sendiri kali yang terpesona,pos
fear,mbak bulan mbak bulan datangnya sekarang ya [not] tanggal biasanya kalo kamu datang biasanya kemungkinan ikut sholat iednya mbak bul,neg
happy,keambian siang buka situs trading sekuritas lihat indeks saham warna warni terus klik klik cantik bego klik tombol buy submit and success,pos
happy,cont belajar prinsip memegang prinsip lebih teguuhh karena godaan bikin goyah integritas ternyata banyak lur seneng berteman banyak tipe menghargai belajar lebih dewasa enggak gampang pundung bahagia disetiap keadaan wkw karakteristik belajar memahami,pos
happy,orang [hashtag] datang kandang pakaiannya sederhana cuma kaos oblong celana training mau keliling kandang buat memilih sapi tapi sekali transaksi mencapai m yang epic beliau orangnya taat ibadah royal punya anak gadis enggak pak,pos
happy,gara2 [username] jadi googling berita tp [not] yang confirm duhhh menanti berita benar pasangan favorite ku jaman kala [url],pos
love,baru lihat benar benar mendengarkan seksama nissa sabyan nya lagi naik daun asli enggak rusak rusaknya suara flawless bening benerrr kayak gelas beling habis dicuci pakai si unlight jadi bersih bersinar deh heran,pos
sadness,innalillahi wa inna ilaihi rajiun kabar duka menyelimuti aceh pewaris kesultanan aceh teungku putro safiatuddin cahya nur alam dikabarkan meninggal dunia kota mataram nusa tenggara barat ntb rabu sekira pukul wita [url],neg
sadness,yang pengin s2 terasa sulit sekali menggapainya yang dapat anugerah jalan mudah s2 malah enggak mau ya allah kok begini dunia engkau ciptakan,neg
sadness,langsung ku block ya maaf nih teman teman sudah memilih jalan sendiri [not] lah kayak kita jalan masing masing loh jujur sedih aku lihat alat musik hancurkan,neg
fear,bukannya bersimpati aku lihat akun kayak malah jadi seram malah jadi takut soalnya videonya menghancurkan cara brutal cara pakai kampak terus posting sedih kali loh lihatnya,neg
happy,lg sibuk ngedit konten ruang tunggu kok sekumpulan nenek didepan seru banget mereka ghibah ternyata hal menunjukkan kapanpun dimanapun ghibah asik,pos
happy,[hashtag] main brawl langsung chang e memimpin top kill mvp sekaligus memang hero ggwp hero baru normal server top lah lebih top soalnya hero mage role kesukaan selain hero tank sukanya skill nya loh buff deh [url],pos
love,ada waktunya sayang berubah jadi butuh perhatian berubah jadi pengertian percaya berubah jadi yakin itu semua terjadi kalau kamu dia saling melengkapi tidak mencari kurang tidak mencari salah tidak mencari lebih,pos
sadness,anak jaman now enggak tau kalo dulu mau testimonial dibalesnya seminggu mana bikin url [neg] sekarang pdkt tinggal match no match kinder senang [hashtag],neg
sadness,ijazah mendadak nyelip langsung tiba-tiba terbayang perjuangan dikampus penelitian skripsi deh el el emang kudu enggak dulu baru berasa,neg
sadness,kadang pengin balik jadi anak sd pulang sekolah tidur siang bangun2 main harvest moon pepsi man [url] memikirkan ina inu,neg
sadness,kasihan karyawan bapakku mau lebaran malah jatuh sakit masuk rumah dan sekarang mudik terlalu cepat kampung halaman gusti allah kadang memberikan yang [not] terpikirkan manusia sebagai manusia cuma menerima,neg
sadness,kehilangan salah satu karyawan tepat lebaran kembali aku dipusingkan mencari penggantinya mencari karywan pabrik tahu susah dibandingkan mencari orang jadi tukang parkir,neg
happy,masih [not] terbiasa twitt pakai english but thank you [username] for memakai easier watching them [url],pos
happy,[username] [username] [username] terima kasih tertawa semoga menjadi amal soleh dibulan mulia membuat sesama hambanya ketawa bahagia,pos
happy,antri bank situasyen mbak nomor antrian berapa buk ambil nomor antrian biar cepat dalamhati rejeki anak baik,pos
sadness,banyak sekali mualaf baru belajar islam tahun ilmu agamanya luar biasa tapi yang kecil muslim ilmu agamanya jauuh banget ya namanya malu banget,neg
sadness,walopun lebaran lama nuansa maaf memaafkan menyebar kemana2 td atm katanya maaf saldo [not] mencukupi gw coba telfon teman eh operator meminta maaf katanya maaf pulsa [not] cukup melakukan panggilan [hashtag],neg
sadness,berharap aku dokter dksh salep buat lebam2 biru eh malah dkshnya obat nyeri tablet vitamin padahal tensi darah aku normal tetap salep mah enggak dksh sama dokternya,neg
sadness,andai id my takyah pasport malam nih dah my itulah hidup selalu dihadapkan pilihan mau [not] mau salah satu direlakan,neg
sadness,sebenernya teknik lumayan aneh banget pas inter passing sering salah dribbling enggak bagus crossing enggak bagus keypass awal-awal selanjutnya ketebak what a waste of skill,neg
fear,kalo yang menganggap big is beauty terus mikir big is awal mula berbagai penyakit sah sah lah kalo tersinggung [not] [not] memang enggak yakin sama kepercayaannya mau setuju sudah terlanjur,neg
happy,demi apa kalau gue punya pc ban agus gue trade langsung nih sama sih mas,pos
happy,[username] selamat ultah kak renoo wkwkw semoga bisa dipertemukan di satu kelompok kalo sama reno gppa deh semoga bahagia sejahtera selalu bersama dek oza hehehe,pos
happy,congratulations on your 1st holly communion xellent mommy papa ompung unty tulang bou uda xaviera are [not] happy be able witness and accompany you on this special day semoga xellent tumbuh mjd anak menyenangkan hati tuhan menjadi saluran berkat banyak orang [url],pos
sadness,gapapaaaa gue berusaha sebelum lebaran kapan tau dospem malah luar negeri pas tanggal tanggal sidang [pos] kering air mata,neg
sadness,ini case kedua sebelumnya sempat kena tipu account saldo gopay hangus [username] perlu peningkatan security supaya enggak kejadian terus ini,neg
happy,yeeeaaayyy siap2 buat lebaran buat mamak klaten alhamdulillah swiss belboutique yogyakarta gondokusuman daerah istimewa yogyakarta,pos
sadness,diminta teman bantuin bungkus kado istrinya hadiah ultah pernikahan terus disuruh sekalian selipkan quote romantis saya ahlinya katanya dalam hati meringis tau,neg
happy,buat hiburan baca deh terus lanjut baca twit2 receh [hashtag] ternyata hidupque [not] lebih remah rangginang macam manusia makan di kiefsi doang oge meni hayang pamer story hahaha aque maloo [username] [username] [url],pos
happy,kita [not] punya apa apa [not] seberapa disapa sobat misquen asik asik malah nyala balek damai segampang ya hebat uiy,pos
happy,[hashtag] nongkrong depan rumah sama teman-teman tiap motor lewat teriakin woy standaar pas orangnya menengok sembunyi,pos
fear,[username] [username] sama yazidi bila negara yahudi [not] memperkuat dirinya pilihan ganti agama dibunuh diperbudak tersingkir maka penting yahudi memperkuat dirinya suka [not] survival bang tp tdk,neg
sadness,[username] bagaimana lin coba deh mbok pikir kamu sbnre sayang banget sama mantanmu terus juga dtk masih memperlakukan kamu sama pas masih jadi pacar mu kan jadi memupuk rasa nek,neg
fear,coba tanya [username] market mampu memprediksi kondisi ekonomi kedepan kondisi politik itu isu2 sudah entah siapapun,neg
sadness,saking sibuknya aku lupa jam mv rilis iya sibuk sibuk mencari kesibukan baca ebook heran accounting apaan awal bulan enggak pekerjaan,neg
sadness,waktu terasa lamban berjalan teriknya siang perut menahan diizinkan makan gini banget enggak puasa serasa lebih puasa sahur enggak teman kantor puasa semua,neg
happy,pertama meminta izin berbincang beliau menjawabnya senyum cerah berwibawa iya mbak bagaimana coba cerita dulu begitu kira kira ucapnya drngan ramah lalu aku temanku bercerita panjang lebar tentang tiket jadwal uas reschedule semua,pos
happy,nyari capung bareng teman pakai sapu dapat capung capungnya ditusukkan lidi lalu dibakar rame rame dimakan katanya bikin sehat [hashtag],pos
sadness,dulu jaman putih abu abu rasanya ngebet banget pengin cepat kuliah eh sekarang pas kuliah mikir berat rasanya jadi ngebet pengin nikah [hashtag],neg
happy,beliau disana mendengarkan sembari tersenyum sesekali cerita terpotong orang orang keluar masuk meminta tanda tangannya sampai kemudian berujung satu inti boleh [not] pak berdua ujian duluan dan beliau tertawa masih berwibawa teduh,pos
happy,bangun tidur kabar teman diterima kerja aku sujud syukur senang banget enggak tau lebay apa [neg] bep mencari kerja iya sesusah [neg] imma proud friend,pos
happy,kepada jamaah masjid al kautsar dikarenakan nasi tumpeng ayam matang waktunya dengan pengajian tafsir masjid al kautsar ajukan hari aya aya wae [hashtag] berkah,pos
fear,ini komprenya perkelompok satu jam asaan kelompok minggu kemarin maju katanya cuma sebentar gasampe setengah jam lah sudah mau satu jam bikin degdegan woii,neg
happy,terima kasih buat teman-teman basis [username] sudah bersedia meluangkan waktunya menjadi panitia semoga allah swt senantiasa memberikan rezeki halal berkah kita semua amin,pos
happy,kita mencocokkan jadwal setelahnya besok ujian jam meminta soalnya mbak yuyun kata beliau alhamdulillah allah leganya ndak perlu reschedule [pos] saat fix keluar lalu salim tangan sih bapak berterimakasih bangetlah,pos
sadness,percayalah dik [not] yang lebih sakit lupa bawa kacamata di perpustakaan nempel menempel deh muka gue monitor [url],neg
sadness,tadi pagi menonton infotainment sebelom brkt gawe kris hatta saja ganteng ditinggalin sama hilda bang billy enggak ganteng gue astagfirullah ngelus dada,neg
sadness,wagelaseh cuti ditolak di orang paling eug sendirian [not] pernah balik rumah lu sih pong libur panjang enggak langsung kabur,neg
happy,lalu beliau balas mengapai takut tinggal mengomong og hngg [pos] si bapak berlalu dan ku terkagum saat beliau enggak jahat yang tergambar rangkaian tweetku sebelumnya beliau butuh ku temenku mengomong beliau mau tau masalah tuh apa,pos
happy,di sd smp gue dulu kalau yang ketahuan bawa artikel terkait pornografi dijejerin depan kelas ditendangin tulang keringnya satu satu wali kelas gue enggak pernah ketahuan [url],pos
fear,ya allah semoga [not] lagi manusia super hero dpr,neg
sadness,padahal enggak jam allah kasih jawaban atas masalahku aku yang terlalu buru buru berburuk sangka astagfirullahalazim memaafi dian allah,neg
sadness,terkadang [not] tahu kabarmu sama sekali membuat hatiku tenang entah bagaimana dirimu dengan siapa aku [not] peduli namun perasaan itu sesaat bisakah kau menghilang jauh dariku doaku ini aku kau lenyap [not] terdengar kabar apapun darimu,neg
happy,saya merancang skenario surprise buat istrinya dan dijamin istrinya happy banget saya happy banget kayaknya cocok jadi tim kreatif acara2 reality show ada unsur2 romantis2nya misal program lamaran katakan cinta kalau katakan putus enggak deh,pos
happy,masuk artikel cetak mediaku waktu tapi lupa edisi tahun berapa dan alhamdulillah tulisanku menang lomba rangka hari kesehatan jiwa sedunia waktu kak [url],pos
sadness,iya e mas aku cuma mentingin mengaji ngejar khataman dulu ndak tiap waktu ngabarin halo kamu mengapai kalo cuma jadi bahan biar kuat merasa tersakiti banget mah mas mengapai dulu mau sama aku ehe,neg
fear,ya allah semoga kue bikinan bunda kali dengan resep google berhasil kasianin aku allah kan soleh mau ultah masa gagal maning gagal maning,neg
fear,intelektual muda baru nih kasus orang naik pesawat dia becanda bawa bom akhirnya bikin orang orang panik [hashtag],neg
fear,pertanyaan bakal ditanya pas lebaran pasti begini galuh selesai alhamdulillah bisa jawab sekarang kerja alhamdulillah bisa jawab kapan nikahnya alhamdulillah eum anu eh jederrrrrrr,neg
happy,jiyeeee jiyeee jeng domi habis menang lawan kei langsung sambut hangat girl friend kimlad halaaah sandiwara [username] [username] [username] [username],pos
sadness,anak zaman now lulusan pakai toga segala un aula2 mahal lah dulu lulus sd paling banter perpisahan cibodas orang anyer naik bis,neg
sadness,di kereta duduk sebrangan sama pasangan bapak2 ibu-ibu tidurnya pelukan terus jogja lewat cirebon sampe jakarta kukena sakit gula kaykanya,neg
sadness,trus langsung diomongin selak tua cari uang bareng bareng sama suami bapak mama mu pengin gendong cucu belajar nanti pas berkeluarga tau sih una unu pada nikah sih bla beli blu anaknya hmm mlipir,neg
sadness,penghasilan bersih 10jt kadang berasa enggak cukup kalo gaya hidupnya ketinggian mau berapapun penghasilan penting sih manajemen keuangan bagus kalo gue istri sangat buruk makanya sekarang [not] kebeli rumah,neg
fear,tapi gik percaya sama aku kalo suami keluarga suami pemikiran nya beda sama pasti dianggep pemberontak karna apa apa kan nurut suami,neg
happy,bahagiain orang terus kamu kapan bahagianya yu ya saya bahagia cara asal orang bahagia karena bahagia malah jadi kali lipat,pos
happy,[username] rambut aku kering ngembang ikal naturally terus makin parah tiap hari banget pakai hair dryer jadi kasihan pengin treatment akhirnya keratin dia hasilnya bikin tekstur rambut bagus rapi,pos
